Reference,Content,Reaction,Comment,Share
100602,"I'm not sure if I'm considered a superficial or realistic woman but there is something that has been bothering me ever since I started using dating apps. I recently matched this guy on tinder. He doesn't look tall or at least above average height but what caught my attention was his serious look, charismatic/distinctive look, his intelligence and he is pretty buff too. After chatting with him for some time, I noticed that we have a lot in common and what's more important is that he not only does pretty well in his field of expertise but he also has some side hustle that generates passive income. So when we first met each other, he indeed doesn't look tall, which I already expected but then when we were standing closer, I noticed that he is actually much taller than me (I'm 1.55m), like legit above 1.7m so I just casually asked him how tall he is, and he said he's 1.75m. I was like wow, it's unbelievable cos my expectation is just 1.7. For some reason he really looks short from far. I'm not sure is it due to his muscular arms, huge upper body frame and bulky legs. I mean who doesn't want a muscular bf right, but as much as I enjoy being with a buff dude, I sometimes care about how others view him cos even I find him short. We actually met up a few times. I'm not gonna lie, but he really looks short when he's in shorts. Should I continue dating him cos I really like a lot of his qualities and his height probably won't matter much to me later in life, or should I stop wasting his time since he looks short but isn't actually short?-#100602: https://www.nuswhispers.com/confession/100602","['Haha: 69 people', 'Like: 19 people']",135 comments,10 shares
100595,"TLDR: Community Isolation Facilities are poorly planned and unhygienic I am a work permit holder from Malaysia and I was recently tested positive for COVID-19. For my housemates' safety, I opted to recover at MOH's assigned shared recovery facilities. This is my experience thus far: - I was not informed beforehand where and what kind of environment I will be doing my recovery at; I only knew where I was going when the assigned driver picked me up- According to the driver, all of the work permit holders, including me, are all sent to Community Isolation Facilities (CIF) while Singaporeans and PRs are sent to hotels- You are not allowed to transfer out of CIF even if you call MOH regardless of how bad the environment is- My CIF is located at Kranji, the facilities here are awful- You share an open space room with 9 other patients, not to mention that the rooms are not properly segregated from one another. The ceilings are covered by some kind of mosquito net- Everyone in the room is on different days/stages of recovery. Some of them have been staying in the room for a few days before a newly infected person moves into the room to take over an empty slot. How does MOH expect us to fully recover in this kind of environment? - The toilets here are small, the toilet bowl is less than 10cm away from the door, the shower head is right beside the door and almost directly above the toilet bowl, you have nowhere to hang your clean clothes as they will be splashed by the water eventually.- I called MOH hotline and asked why are we not allowed to choose our Isolation venue even if we are willing to pay. The staff said that the venues were assigned beforehand so we can't choose- I told the staff on the phone that being in this kind of environment is mentally taxing, and asked her if this is how MOH treats work permit holders. She replied that it isn't true as there are also Singaporeans and PRs assigned to CIFs (this is totally bullshit, everyone here holds a work permit, no Singaporeans and PRs here at all)We didn't choose to get infected with COVID-19, and yet this is how MOH treats us, as if it is a punishment. I feel blatantly discriminated as a work permit holder and I am extremely disheartened with the treatment given by Singapore, a supposedly First World Country. I am aware that the recovery facility is a “benefit” for us, but I find that this environment makes it harder for people to recover properly. I hope MOH can do something about this, especially now that there is a new variant of the virus.-#100595: https://www.nuswhispers.com/confession/100595","['Like: 8 people', 'Haha: 4 people', 'Angry: 2 people']",0 Comments,12 comments
100603,"TLDR - what happened to the OBAR at NUS staff club?I graduated from NUS in 2019. Since then, it's been about 2 and half years, easing into the routine of working life, definitely in an unforgettable manner so far with Covid messing up life as most of us have known it to be.Ever since Covid hit I have not visited NUS, so I dont know what has changed there. Recently though, I was drinking with a friend at a place called Obar at Pasir Ris Downtown East. I thought the name sounds very familiar - and after googling, I realised that indeed, Obar NUS was where I had a memorable celebration right after my Commencement in 2019, which took place in the evening. It was a joyful night, without work worries and a time when the nightmares of Covid had yet to begin.What has happened to that Obar NUS? It is no longer featured in the Obar website, so I assume it closed down... :((-#100603: https://www.nuswhispers.com/confession/100603",['Like: 2 people'],1 comment,2 shares
100598,"How does one define a snake?Last semester I had a group mate who was hard to cooperate with as he/she tends to MIA without informing us what he/she was busy with and it was hard to find a time to do the group assignment. During the peer review, I wrote the truth whereby it was hard to cooperate with this particular groupmate and I am wondering am I considered a snake if I am just being honest with the prof regarding how my groupmate behaved? Or was I supposed to take a L and ignore his/her actions and pretended that nothing happened?-#100598: https://www.nuswhispers.com/confession/100598",['Like: 6 people'],0 Comments,13 comments
100599,"Feeling depressed over my latest failed attempt at romance: I picked up a really cute stray cat on my way back home and thought I could use it as a surrogate gf for the time being since I have been single for years and it won't break up with me. Then my mom - who is a vet - burst my happy bubble when she took a look at it and said, ""LOL, you picked up a slut. This cat is pregnant.""  ????????????????????-#100599: https://www.nuswhispers.com/confession/100599","['Haha: 166 people', 'Like: 74 people']",35 comments,51 shares
100596,"So I recently took this VTL flight on sqAnd the stewardess that was in charge of my cabin was super cute and kind ,I spoke to her for about 2hr plus ,it was a red eye flightSo when were like 5hrs away from SG I asked her if she's been to ""x"" a nice nature place in SG She said no and then I asked her out She said yes and gave me her number What do I do now ,I never thought I could get a date with someone like her!.Please help.-#100596: https://www.nuswhispers.com/confession/100596","['Like: 121 people', 'Haha: 57 people']",85 comments,13 shares
100594,How can I complain about my organisation? I'd submit a negative Glassdoor review but with my position title it would be too clear who I was and make me vulnerable to the continuation of my targeting. Dysfunctional place with horrible work culture and I have suicidal thoughts every time I'm at work-#100594: https://www.nuswhispers.com/confession/100594,"['Like: 18 people', 'Sad: 4 people', 'Wow: 2 people']",14 comments,1 share
100589,"TLDR; How do I get out of a traumatic experience emotionally, when I seem to be acting all fine? Prof Ben and seniors who studied psychology, please help advise a lost soul here. I just got out of a 5-6 months long internship that was extremely toxic. Probably because it's a startup, the company is short on manpower and responsibilities of staff are blurred. As such, I'm always expected to juggle multiple responsibilities and take initiative to do beyond what was asked. Just a note though, these responsibilities are not your typical ""pour coffee"" or ""sweep the floor"" etc. They are actual jobs that bring in revenue for the company. And yes, you probably guessed it, I actually managed to earn more than enough revenue to cover my own salary (and much more actually). With the commercial nature of these jobs, I'm constantly stressed out to deliver nothing less than my best. Because I know that if anything goes wrong, it's my fault. It doesn't help that I have a deep sense of responsibility towards every job that I'm assigned. So even as an intern, I expect myself to exhaust all means in ensuring that things go smoothly. Rare for an intern to feel this? Maybe, idk, but maybe this just made the traumatic experience become more traumatic. Why? 1. Some of these jobs are questionable. As in I don't even know whether there will be any legal consequences. Whether it's relevant to my course is another thing, but I guess that's slightly less concerning than this legal part. 2. My supervisor.. hais.. I can't talk about him without having a trigger of some sort (never had any issues with my emotions before this internship, and I'd consider myself to be v aware of my feelings) At his best (usually when he has something to ask from me), he'll talk normally, sometimes even amicably. He has this weird charm that makes people want to continue talking to him. Unfortunately, that's part of the reason why I decided to come on board. So much for thinking that I know myself, when I can't even foresee the misery he's going to inflict upon me in time to come. At his worst (which is most of the time), he'll just talk down to me, raise his voice at me (in front of everyone in the office, though it's not a lot of ppl lar, but still..), or even threaten to terminate my internship early. It's extremely toxic to the point where he'll start picking fault at the little things I do / have. And yes, he made it v personal in those personal attacks. One interesting thing about one of the things he said: He loves to downplay the importance of the things that I've done / am doing, so he probably treats me like a normal intern right? But no, once when he was threatening to terminate my internship early, he implied that the company is treating me more than an intern, by giving me freedom to explore ways of doing things (excuse for their lack of guidance / resources maybe? - afterall, he mentioned that I was supposed to come in to help another staff, which ""happened"" to prefer doing things by himself/herself after I come in) and whatnot. He also said that interns are like soldiers, ask them to go die, they can't say no (I rly can't tell if he's kidding, since I'm alrdy v afraid of him at this point). So does he see me as an intern, or does he not see me as an intern? Or does he treats me unimportantly like an intern (he lacks basic respect when talking to me), pays me like an intern (v low pay, which is expected for an intern), but expects me to perform complex jobs like a normal employee? I've learned in school that hardly anything is fast, cheap and good. While he wants all of these, he's not willing to treat me with basic respect. In case you were wondering why I still worked tirelessly for the company, and why I suppress my negative emotions in front of them (even though someone here repeatedly caused it), it's because I have this deep sense of responsibility in me. I don't feel that it's professional to let my emotions get in the way of my work. As a result of all these, I'm now extremely traumatised by this experience. This is the first time I've felt so helpless and lost in my life. It doesn't help that on the surface, I'm a v cheerful person who doesn't seem to mind his repeated verbal abuse. Deep down, I know that something is off, but I'm just so good at suppressing these emotions that I no longer know how to deal with it. I know that something is off because I seem to be experiencing all 5 stages of grief all at once (yes I do blame myself sometimes because I chose this company over others). I am also losing interest in things I used to enjoy, losing my appetite, having nightmares of him, having my mind drift off without me realising immediately (I know that this is potentially dangerous, but I really don't know how to solve this..) , having random memory loss, having random panic attacks etc. I'm extremely afraid of having PTSD because of this. The last thing I want is to be affected by this incident for the rest of my life. I am already at the losing end, and I really want to get out of this emotional rut. It's v dark and scary here. Anyone with psychological advice / similar experience, could you please help me -#100589: https://www.nuswhispers.com/confession/100589","['Like: 10 people', 'Care: 10 people', 'Sad: 4 people']",19 comments,1 share
100593,"Hi, I'm a guy. Back in uni, I have a very close female friend. We were never together, just very close friend and we both enjoy each other companionship. She always have admirer but has been in a the same relationship on and off, due to the guy's cheating habit. After that, she have been in few more relationship.Back to now, VTL has opened and we plan to meet each other and travel around. We stay contact since uni once a while, and at the moment both of us have our own bf/gf now.So, I decided to book Airbnb and get a single king bed, trying to be 'hinting' you know?Then, she doesn't seems like concern about staying in the same bed with me. I feel like she think that we are just good friend and nothing gonna happen as I'm the typical Mr Nice Guy. But my mind is like flying around with all the dirty thoughts. As much as I wanted to be nice guy, I really wanted to be a 'bad person' for once.Do you guys think she expect I did anything inappropriate?Appreciate for anyone’s advice -#100593: https://www.nuswhispers.com/confession/100593","['Haha: 45 people', 'Like: 23 people', 'Angry: 13 people']",83 comments,12 shares
100592,"Okay so I just had my 21st birthday; the sad part was that it was a small affair due to covid restrictions and exam commitments, but the heartwarming part was that I had many more presents than usual (thank you all, especially those who mailed your presents ). Now the weird part is that two separate guy friends (who do not know each other) gave me bras as their gift!!! Is this some coming-of-age tradition I don't know about??? And the weirdest part of all is that both of them got the right size!!! Is this why guys spend so much time staring at girls' chests - to arrive at the correct estimate??? Now one of them texted me to ask if I liked his present. What should I reply???-#100592: https://www.nuswhispers.com/confession/100592","['Haha: 40 people', 'Like: 12 people']",28 comments,5 shares
100590,"Just got into a somewhat new relationship we just planned some travel plans. Not trying to be cheap, but in previous relationships any holiday trips overseas with my exs we pay our own airplane tixs but of course when it comes to hotels and dining I will gladly cover it. (married then different story lah i feel. if married i got no prob paying )This gal however expected me to pay her full travel expense.I am not poor that after paying for it will make it a life changing decision or something, neither am i rich that i like throw money out of the window and don't bat an eyelid. Not that i don't ""treasure"" her, nor want to have the whole dumb ""fair payment scheme"" but i don't get the whole self entitlement when she makes just as much as i do.Just wondering through this conf poll what do you guys do in your relationships?-#100590: https://www.nuswhispers.com/confession/100590","['Like: 41 people', 'Haha: 15 people']",98 comments,4 shares
100584,"Hi. Just wanna confess that I'm a relationship wrecker. I find it thrilling to get attached / married ladies to fall in love with me and cheat on their partner. Obviously once I got them to cheat, I would end up losing interest and ghost them because hey, mission accomplished?. The thrill is just isnt there anymore.Not easy and I would say my success rate is decent at best (25%~). Used to feel guilty at first .But anyway, if they cheat it's their fault right. Still, I wouldn't try it on my close friends' relationship. At least thats one line I wouldn't cross. Obviously I never tell them any of these because I wouldn't wanna lose them as friends. So I'll just post my confession here. Thanks for hearing-#100584: https://www.nuswhispers.com/confession/100584","['Like: 55 people', 'Haha: 48 people', 'Angry: 26 people']",96 comments,31 shares
100585,"(*Admin please post this. Thank you)Hi all. I'm a female in late 20s, single, poly graduate and have few years of IT work experience. I am currently pursuing a part-time degree.After working for few years, I took a few months break and went for job-hunt wanting to do something different aka job that is more fulfilling/fun (something I wanted to try out) but pay is lesser.  Eventually I ended up working in IT related job now as the pay is more based on my past experience and I needed the money to pay for my school fees and own living expenses.However at the back of my mind, I been thinking whether I should (Choice A): go try different jobs (lower pay) and if need be, to work few different jobs to supplement the income. As I do enjoy having the experience in life to try out different jobs since I am still (considerably) young and I do not have a clear goal/passion what I want to do in life so this can kinda be a period for me to explore and enrich my life. (Fyi The jobs that i would like to explore are not corporate jobs or jobs that deemed to pay well)Also since most jobs require a degree and even with my past IT work experience, it is not able to allow me to earn relatively high pay in IT jobs too; much less change of industry (eg to a business/marketing job etc) as the pay will even be lower or I might not even be accepted with my qualification. So I have been thinking during my course of study (around 2 years), whether I should just use this time as like a ""explore"" period and after graduating with degree, will pursue a more ""corporate""/stable job that pays more as I would then have the paper qualification and some amount of IT work experience.Or on the other hand, if I should just stick to (Choice B): continue working in this current IT job. To earn the money and build on the related work experience to put on the resume (aka it will be better working on similar area instead of a choppy resume?) Also since I am about to reach 30, it would be more practical to do something more ""stable"" to build on the finances and corporate work experience.Thank you for reading this! Appreciate any advice from anyone -#100585: https://www.nuswhispers.com/confession/100585","['Like: 8 people', 'Haha: 2 people', 'Care: 1 person']",9 comments,3 shares
100587,"*Admin please post this. Thank you*Hi, I am in my late 20s, graduated and have worked few years (more than 3 years). I have interest in joining those graduate trainee program in companies as previously I have not joined such and I wanted to kinda have a reskill or change of job path. I do not mind the lower pay.Would like to have advice from anyone here, whether if I am able to join such? I know I am not considered ""fresher"" but an experience hire (although I lacked the indepth skillset as of now).But how company checks/determine whether this person is a fresher? Does it go by purely corporate full time job experience or even non-corporate full time job experience? Example: do we declare by not stating certain work experience in resume etc? Or do company goes to the extend of checking our CPF etc before accepting people in those trainee program?Appreciate any help or advice on this. Thank you-#100587: https://www.nuswhispers.com/confession/100587","['Like: 12 people', 'Care: 3 people']",6 comments,1 share
100045,"F here who believes that maintaining ""strictly professional"" interactions with friends of the opposite gender, while being in a serious relationship, should be a responsibility everyone should impose on themselves.It is now quite fashionable to promote the idea that ""you don't have to cut ties with platonic friends of the opposite gender once you get into a serious relationship."" But I think people get the logic entirely wrong sometimes. This has nothing to do with trust or distrust, it has everything to do with risk management.It is never socially acceptable to insist that your partner has to cut ties with his/her friends of the opposite gender, just as it is never socially acceptable for a guy to insist that a girl has to wear conservative clothing in order to prevent herself from being sexually assaulted. I think most people are on the same page about these things.But risks being risks, they honestly do not care what is socially acceptable and what isn't. If you have many close friends of the opposite gender, the risk of your being unfaithful cannot possibly be lower than if you only hung out with friends of the same gender. Same goes with wearing only a sports bra at MacRitchie at 9PM. This has nothing to do with victim blaming. If you put yourself at risk, you put yourself at risk. It's easy to say ""men should stop raping."" It's just as easy to say ""my dog should stop humping the sofa all the time."" Just because we made something illegal doesn't automatically alter our biology.Since becoming a mom, I have abstained from activities I used to love doing in my early twenties, most notably, mountain biking (from which I have sustained several severe injuries in the past). It's not that I don't trust myself to be careful. When you deal with things that are completely out of your control, it stops being an issue of trust. It just becomes an issue of your being stupid for taking unnecessary risks.I have male friends. But I have always made it a point to tell my husband whenever I hang out with any of them. He doesn't require them but it gives me more peace to know he is at peace. Trust is something you have to earn.-#100045: https://www.nuswhispers.com/confession/100045",['Like: 169 people'],37 comments,20 shares
99922,"I am in a marriage with a guy for 7 years. He is loyal and doesnt gamble or flirts or cheated on me before. Before our marriage i had conversation with him about how our marriage life is going to be. How we would work for our future together and how he would help out with chores and have savings and still spend quality time together as a couple. He doesnt come from a very good background. Parents are just barely making it. But that doesnt bother me because i thought once we are married, we will work hard together. He is also lazy and i have to constantly push him then would he do anything. More like how a mother would. 1 year into the marriage, i wanted to annul because he is not providing me with even the basic needs in a relationship. The emotional support, physical support. 2 years into the marriage i brought up divorce but he insisted he wouldn't want. I gave him that chance. 3rd year i brought up divorce again and another episode happens again. I gave him another chance again. We are in our 4th year of marriage and i am still thinking of leaving him. Everything that was promised, wasn't delivered. Even if he did, it just wasn't good enough because the basic needs are not even there. As a married couple, we haven't had sex for 3 years straight! I am in love with a guy who is able to provide me with everything i need from emotion to physical to sexual needs. We had been secretly dating for 2 years now and to be honest, we both are like soul mates. But i am finding the right time to bring up the divorce. Or is there no right time for it? Anyone?-#99922: https://www.nuswhispers.com/confession/99922","['Like: 62 people', 'Haha: 40 people', 'Angry: 18 people']",116 comments,33 shares
99968,"I am in my mid-40s and I fine the society and workplace becoming extremely toxic.To attain the same level of success, staff nowadays are expected to perform more tasks, take on more complex projects, display high EQ, upgrade skills on a yearly basis in order to avoid being eliminated and prevent burnout.Some people might say you have to prove yourself but such mentality is unhealthy. I am a department head and ometimes I feel sorry for my young staff. To expect someone to constantly improve themselves just to stay employed (not talking about getting a raise or promotion) is just mentally and emotionally draining. To be honest, I am impressed by their resilience. The depth and breadth of work they do is definitely more than what I had on my plate 20 years ago. They are only at the beginning of their career... Seriously I don't know how many more years can they live like this???I am all for upskilling and innovation but with the fear of being replaced at work in the background, to live like this from 25 to 65, is unhealthy.Is this the direction we want to go as a society? Pushing everyone to their limits with no breaks in sight. We are not talking about winning the rat race here. We are merely talking about not being eliminated from the race.-#99968: https://www.nuswhispers.com/confession/99968","['Like: 256 people', 'Sad: 42 people', 'Care: 30 people']",36 comments,64 shares
