Reference,Date_Clean,Content,Comment,Share,Angry,Care,Haha,Like,Love,Sad,Wow,No Reactions,No Category,Advice,Ask Prof Ben,Funny,Lost and Found,Nostalgia,Rant,Romance
#102709,2021-03-29,"How to get over the guilt and unhappiness from my job?I've never believed in corporate and don't want to work all my life climbing a ladder where I'm just an employee / pawn to another person's company, so my boyfriend and I spend whatever free time we have left building our own side projects, which already make double my personal income (which is currently low six figures), in a span of only 6 months since we have started seriously working on it. Besides, my day job is paying me a fixed income which doesn't scale based on the effort I put into it. Although it's very chill (it's a management role - I work at my own pace), I'm slowly but surely losing interest in it. I only spend around 50% of the actual work day actually doing work and spend the rest of my time working on side stuff. I don't find it worth it at all to spend more time on it when the amount of time spent on our side work has made so much more. However, by nature I've always been a by-the-book person and I feel deeply uncomfortable for ""cheating"" and ""lying"" to my company which is paying me for 100% of my time, when I'm barely putting in much. I constantly feel unhappy even though I tell myself stuff like make a to-do list, complete it, and go about the rest of my day doing whatever I want. I simply can't get over the emotions I feel no matter how much logic I try to apply to this to convince myself. The nature of my role is also not fit to my personality. I'm introverted and shy by nature but am forced to constantly interact with strangers and push them to do things. The interactions I have with others haunt me even after work and that is weird but true.  It's making me so unhappy that in the mornings I don't feel like waking up and I spend a huge part of my day feeling uncomfortable. Every single day, I dread going to work and I wished I could spend all my time just doing things I believe in and enjoy doing. After work, my mind is occupied with thoughts of the way I'm not giving the company 100%. Yet, I also struggle with the conflicting thoughts that I am wasting my time on my day job which doesn't give any good ROI. I've thought about leaving my job to focus fully on our side project, but for the time and effort I'm spending on it, it's actually more worth it to stay in this job. Besides that, my boss had recently nominated me for promotion and my bonus will be great. My boyfriend believes I should stay for the bonus or for stocks vesting, which will take place in the next few months. As my company has a good brand name, it might be a good idea to stay also for credibility. Moreover, I'm unsure of many things when I quit - will I suffer because I have no cpf? My resume will have a gap? I don't have sufficient official work experience in my field which is currently lucrative, and if our project ""fails"", I may have no options. I also don't want to overly rely on my bf. What should I do?-#102709: https://www.nuswhispers.com/confession/102709",20 ,3 ,0,0,0,16,0,0,4,0,0,1,0,0,0,0,0,0
#102705,2021-02-28,"How can we play our part in accelerating a recession?Property prices are simply too ridiculous now. HDB resales literally jumped 12.7% in the last year. Im sure wages didn't increase this much. Any cooling measures will be likely designed to stagnate, not drop, the prices. After all, last guidance from MAS is that property market is not yet overheated. The younger folks, who are most impacted by ridiculous property prices, also have generally better job security. Apart from a recession, I don't really see anything else that will make housing more afforable for younger folks.-#102705: https://www.nuswhispers.com/confession/102705",12 ,1 ,0,0,8,5,1,0,0,0,0,0,0,0,0,0,1,0
#102704,2021-02-28,"Hi everyone, so currently I'm in a relationship with this girl but she has this so called ""princess syndrome""She'll always ask me buy stuffs from online shopping, saying she'll paynow me back but she didn't. Is not a one or two times incident. Been like minimum Twenty times.When we go out for dates, she watch those videos about couple doing things that make them looked cute.She'll ask me to do things that she felt is cute/romantic and asked me to do the same. For examples, piggyback her in the middle of shopping mall. Give her surprise gifts like I'm some kind of magician. Worse of all, her temper is really very bad. There was once before the CB period, bbt was not allowed to operate as they're not considered essential. She messaged me. Asked me to go and buy for her, which I did. As you all know the Queue was extremely long and the drinks availablity probably ran out. I took photo of the crowds and said ""I might not be able to get the drink you want"", she replied "" yeah can, just buy what's available""During mine turn to order, the drink she always ordered was oolong milk tea with pearl but it ran out. Only left milk tea with grass jelly so I took it. Took quite awhile for the order to be completed n I took transportation to her house. Probably about 1.5 hrs for buying the bbt and travel to her house.i was excited to show her that I've managed to get bbt for her and thought she'll be happy but her next actions totally stun me.She looked at the drink n was screaming "" what drink is this? You know I only drink oolong milk tea with pearl"" I explained that I alr told her that I might not be able to get the drink she wanted and she was the one that said she was fine with it. But now she's screaming at me. She opened the lid and splashed it on me then slammed the door. During the incident, her parents was not in the country so only she was around in the house. I tried to knock on the door for like half an hour but she didn't even opened the door. I tried to call her but she rejected the calls and processed to block me. I have no choice so I went back home with the splashed bbt shirt.When I reached home, she texted me. Saying how disappointed that she is for having high expectations that I should've know her by now what's her favourite drink, how I didn't persistent to knock on her door to show mine efforts of trying to explain to her and how I should've reflected on myself for being a disgraceful boyfriend.During the days where she ignored me. I have this relaxed, calm environment and feelings which I didn't have it for quite awhile since I dating her. I googled and all the search results shown was that it due to being away from a toxic relationship.I was so disappointed by her actions, no matter how much efforts I've put in. It was never good enough to please her. After the incident, few days later. Her parents texted me. They apologized for their daughter actions. They said that the neighbors witnessed the incident n told them about it. I said is okay, I'm cool with it and they've gave the parents talk to her. Following day after her parents texts, she texted me and apologize for her actions in the incident and I accepted it. But ever since we get back together, it just seem to be back to the days where she'll  be screaming at me for not getting what she wants or not her expectations.I'm feeling exhausted from this relationship and I wanna to talk to her about her behaviour, the status of our relationship. But she just always avoiding it I need some advices on how do I talks to her in a way that she'll be listening to me and not always screaming at me like it was everything my fault for all that happened in the relationship.-#102704: https://www.nuswhispers.com/confession/102704",167 ,36 ,0,31,34,38,0,0,0,0,0,1,0,0,0,0,0,1
#102703,2021-02-28,"Hi, this is my 3rd time posting bcoz my previous posts didn't get approved.  I've been in a cold war with my husband for the past 1 mth due to an incident that caused us both to get pissed off. Here's how it goes, my bff and her family caught covid and I wanted to send a care package over. I told my husband that I want to go buy some things for her and asked him to send me to her place. He brushed me off and said asked me to wait cos he was busy. So days past and I was thinking it's gonna be too late if I wait until he's free. So I decided to go myself. After sending our kid to school one morning, I asked him to send me to ntuc to buy some things and he wasn't too happy also. Then I said I'm going to buy things and pass to my bff and he blew his top at me. He started saying things like don't you think of your family? Like you still have a child and elderly mum etc. Then I replied I'm only leaving the things there outside the door and leaving. It's not like I'm going into her house? Right? Wtf? Anyway, he wasn't happy still and he basically drove recklessly from our kids school to the mall where he dropped me off and the moment I got off he zoomed away. Wth? Idk what's his problem but I'm really speechless by the way he treated me like I'm some dumb blonde. He self assumed what he thought I was going to do. And behaved recklessly through his driving. After I got home, we didn't talk until now. I'm frustrated that he never ever apologies for his mistakes. And I always have to be the one giving in to him. When I'm wrong I buck up my courage to apologize but a simple misunderstanding like this he's unwilling to do so. I'm so tired of his behavior and divorce came up to my mind. But I've been a SAHM for years and I don't have an income. I don't want to be the one always giving in to him. It's so tiring and I hate it. Can someone please enlighten me?-#102703: https://www.nuswhispers.com/confession/102703",32 ,3 ,0,4,4,6,0,0,0,0,0,1,0,0,0,0,1,1
#102702,2021-02-28,"#102684, I am a girl who was in a similar situation as you. But I'm the rider.You didn't say how your guy friend got into motorcycles, but the fact that it's not about his salary already says a lot. Sometimes it's not just about the hobby itself but the reasons behind it. I can speak for a number of riders who consider it their most treasured expression of freedom. Something that other people might find difficult to respect, much less understand.The guy I thought I loved most in the world, my best friend, turned out to be no different from my controlling parents the moment I told him about my interest in bikes. Even after I passed my 2B and purchased my bike, my first vehicle, he had nothing to say but nasty comments and kept telling me to sell it. He even said he wished I had failed my 2A. Can you imagine telling someone you love such toxic remarks? If not now, at this rate you might just find yourself doing that. What good would even come out of it?So yeah, if you ""don't know why he insists he needs to ride"", you should at least get it into your head that your relationship doesn't have the right to edge out everything you don't like about his lifestyle. Literally, if you can't provide more happiness/mental well-being than riding, do both yourself and him a favour and find some other guy lol-#102702: https://www.nuswhispers.com/confession/102702",0 ,6 ,0,1,0,12,0,1,0,0,0,1,0,0,0,0,1,1
#102701,2021-02-28,"All my life I have pronounced LMAO as 乐猫 (le-mao) and ROFL as 弱夫 (ruo-fu), but my bf laughed in my face about it even though the way he pronounces them is so much more ridiculous: el-mao and rofffff (?????).When we argued further and I said that GIF is pronounced jif, he went into stitches and was like, ""Is your Jod called Gesus?"", which made me so mad I am posting this so yall can back me up.Any smart comebacks that I can throw at him?-#102701: https://www.nuswhispers.com/confession/102701",39 ,15 ,0,0,104,37,0,0,0,0,0,0,0,0,0,0,1,0
#102697,2021-02-28,Just a rant.My life sucks. My old company didn't survive the pandemic. I spent months looking for a new job and asked for a transfer recently because I wanted to spend less time travelling. Now I realized why my transfer was approved so quickly. This branch is the worst. Turnover rate is the highest. The manager is non existent. The other staff go for smoke breaks that lasts hours then I'm forced to do the job of 5 people because I don't smoke. Maybe I should pick up 'smoking' too just so I can also MIA like them. Govt tell us no need study so much. Have life experiences better? Study so hard for a degree for what? Just so it can expire? No wonder all my cousins migrate to Australia and never come back. Maybe I should do that too.-#102697: https://www.nuswhispers.com/confession/102697,0 ,10 ,0,0,1,7,0,5,0,0,0,0,0,0,0,0,1,0
#102696,2021-02-28,"Admin don't remove this. I need help.I have been in my job for almost 2 years and my performance hasn't improved much. It feels like my suggestions/rationale are always wrong.I tried to think/reason the way my colleagues think/reason.I tried to communicate the way my colleagues communicate.Sometimes I have difficulty understanding the management process. Why do you need to route to person A for approval? Sometimes I feel this kind of management stuff is just stupid made up shit to make some people look important. Of course others are important for checks and balance sake. I feel like the monkey in the team. I can feel my colleagues are losing patience with me.I feel bad for not being able to pull my weight. I really want to quit.It has come to a point where I would type my proposal and tinkle with it for up to 6 hrs before sending bcus I'm afraid I will be wrong again. I'm so disappointed in myself. Why can't I get it? Am I stupid?! I dread receiving responses. I knew I am wrong.Seriously sometimes I resent how rigid they are. Company policy company policy. Fuck your policy. Lol. Use 2 paras jusf to say a simple no. You can write your company policy all you want but in the end how does the person feel? I understand the importance of guidelines but 东西是死的，人是活的。I stayed only bcus someone famous once said to become someone better, we have to surround ourselves  with people better than us. I don't deny that the people in my team are way smarter than me. It is evident from the way they speak, dress, write, navigate social situations, execute tasks, take in new information etc.Pardon my language. I'm here to rant, not to present-#102696: https://www.nuswhispers.com/confession/102696",10 ,3 ,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0
#102695,2021-02-28,"I have a genuine question:If a guy says he 'loves' you, but decides to date other people meanwhile?! Is that even love? Why would you term it love? Isn't he just probably attracted and maybe thinks you're cool to date? Just based on a personal experience, wondering if I should date him in future. When I asked around my friends, they said he is clearly a cheater. But I would like to know what the guys opinions are as well, so posting it here. Girls pls comment too what y'all think, appreciate it!-#102695: https://www.nuswhispers.com/confession/102695",0 ,17 ,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,1
#102693,2021-02-28,Damn why all the hot guys are in SG?? Borden pls open up soon and I'm gonna go SG get all the hot guys in SG.XoXo from Malaysian cutie pie-#102693: https://www.nuswhispers.com/confession/102693,0 ,44 ,0,0,31,11,0,0,0,0,0,0,0,0,0,0,0,1
#102689,2021-02-28,"How should I deal with my SO’s family?Throughout the years that we have been together, they have badmouthed me behind my back and also openly accused me of being a bad influence on my SO many times, even after knowing that we will be getting married.Almost every single time when they are unhappy with my SO, they blame it on me, even when I am not involved at all. Most recently, it escalated to them punching my SO in the arm and prodding my arm and threatening to beat their child’s face, while verbally abusing us (e.g. stupid, useless). They also said that it is their right to hit their child when it is legally not true for ages >21.My SO is much older than me and has their own way of thinking but the family seem to think otherwise. Another member of their family refused to take our side and just ask us to apologise and suck it up, get it over and done with even when they know that it is not our fault. I believe that just by being elders do not give the right to be unreasonable and not even try to change their bad behaviour. Why is there an expectation for the youth to bow down and just accept everything?Any useful advice is much appreciated.-#102689: https://www.nuswhispers.com/confession/102689",0 ,8 ,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0
#102688,2021-02-28,"Follow up on - https://www.NUSWhispers.com/#!tag/102288My friend found a job. TBH, he received six offers within a week(One of them is a top tech company, but he declined the offer. ). He accepted one of the other offers last week. Unlike my previous post, this post is a reminiscence about his interviews. This may be useful for some people.1. There will be people in the interview panel who will speak rudely and make you uncomfortable and demotivated. There was somebody in his interview panel who asked that ""You do not know how to code"". With more than 6 years of experience, he is one of the better programmers in our cohort.  I am not saying that he cannot do any mistakes. Even if there are mistakes, there should be a way to tell. It is the interviewer who should be ashamed of themself, not you. 2. Companies would give you a take-home assignment for 2 days. In the end, they would expect a full-fledged working system. In most cases, it is not possible to capture all aspects. As long as you write something with a good design idea and cover most test cases would be sufficient. Still, there would be people complaining about your code. Just pass them, there would be people who take you.3. Recruiters try their maximum to buy you by giving a small salary increase. Learn to say ""No"". join a company that you like and you feel comfortable with your skillset. My friend has the problem of saying ""No"". In the end, it is you who are going to work. Don't be prey for recruiters.4. There would be interviewers who will reject regardless of how you perform. Do not get disheartened. This happens here and there, not frequently. 5. Do not lowball yourself. My friend is getting a hike of 40%. The market is quite good.  Learn how you can demand salaries. 6. Do LeetCode.-#102688: https://www.nuswhispers.com/confession/102688",5 ,7 ,0,0,0,34,0,0,0,0,1,0,0,0,0,0,0,0
#102684,2022-03-28,"Prof Ben and others, I swore I would never put a relationship woe on this platform but I'm stuck. I met this guy online and I think we have good chemistry. He is a loving person that really cares for me. But one thing that I really disapprove of is his motorcycles. He is a fan of them and can talk about them for hours. I am very afraid of him getting into an accident. He told me he will be careful and everytime I mention that I don't like it that he rides, he turns cold and doesn't respond much. I don't know why he insists he needs to ride. His salary is more than enough to afford a car and I think all of his friends also drive. I can't understand why he needs to put his life at risk every day. I am so worried that I doubt whether the relationship is worth me being worried all the time. I know that if he chooses not to ride, he will be very unhappy. Although I think he would do it for me. I am so conflicted. Any other girls in the same situation? I hate taking risks unneccesarily and I think I may have just fallen for someone who's the complete opposite of me.-#102684: https://www.nuswhispers.com/confession/102684",90 ,46 ,0,0,13,17,0,0,3,0,0,1,1,0,0,0,1,1
#102683,2022-03-28,"I’m 21 years old, female. I’ve a sister who is 6 years older than me. Many years ago when I was young (can’t remember exactly how young I was but I am very sure I wasn’t even 9 yet), she actually taught me how to kiss.. not just kiss but French kiss. It didn’t happen once or twice but many occasion. Back then, I was young and I did not think of telling my parents. And also, s**  education weren’t something that my parents would teach us. I didn’t remember about this incident until recent years where it came to my mind one day. I won’t say I have nightmares starting from the day I remembered all these. But I feel disgusted. I feel dirty. I cry at the thought of what happened more than a decade ago. Recently, she quarrelled with me over some issues and I really couldn’t contain the secret I’ve hidden in me and I blurt out and said about what happen many years ago. She actually denied doing it to me and told me to stop saying things that she didn’t do. Afterwards, she block me on WhatsApp and even social media and removed me from the Netflix account that she gave me. Infront of people, I am always seen to be bubbly and cheerful. No one will ever know what I go through and it’s really been tough for me. I don’t even have a proper closure to this that happened to me. And I really feel so hurt. I’ve been very kind enough to not mention about this to her when I first recall the incident because I respect her as my sister and I felt it would be awkward for me to even say this out. Even when I recalled this, I did not tell anyone about it except my boyfriend who told me never to tell my mom becuz he fear my mom will blame herself for failing to take care of me. I don’t feel I am in the wrong yet I am treated this way. I still have to face her at home every single day. Help..-#102683: https://www.nuswhispers.com/confession/102683",0 ,20 ,0,10,0,13,0,0,3,0,0,0,0,0,0,0,1,0
#102682,2022-03-28,"Why do guys always have to have relationships/ affairs at work?!Cant they keep things professional and leave out the personal stuff.5 years into work.We got together 3 years later.He just left for another company.He has an outgoing personality, and very good with his words. Humourous too! Which is why we probably got together in the first place.Seeing how he interacts with the other females at work, had got me jealous a couple of times. It was not just casual talking I assure you. Sharing drinks, close proximity, arms around each other.He assured me he will not have those kind of affairs at work, to ease my worries, which I have brought up to him time and time again.  His team consists of all females, and he holds a high position as well.Inside of me, I have this major trust issue because of his character. How do I let this feeling go?-#102682: https://www.nuswhispers.com/confession/102682",36 ,2 ,0,0,7,18,0,10,0,0,1,0,0,0,0,0,0,0
#102678,2022-03-28,"I am looking forward to no mask days, where I can look at pretty girls and handsome guys.-#102678: https://www.nuswhispers.com/confession/102678",10 ,1 ,0,0,21,15,0,0,0,0,0,0,0,1,0,0,0,0
